domain,name,type,common_rank,first_rank_total,first_total_births,first_male_births,first_female_births,first_recent_2020_births,first_first_year,first_last_year,first_peak_year,first_peak_year_births,first_best_sex,surname_rank_2010,surname_count_2010,surname_prop100k_2010,rdap_status,checked_at_utc
laneisha.com,laneisha,first,15013,15013,616,0,616,0,1972,2014,1992,38,F,,,,available,2026-05-30T06:09:37.115Z
murlene.com,murlene,first,15015,15015,616,0,616,0,1912,1964,1931,26,F,,,,available,2026-05-30T06:09:37.115Z
arizbeth.com,arizbeth,first,15023,15023,615,0,615,56,1993,2020,2019,56,F,,,,available,2026-05-30T06:09:37.115Z
jayshaun.com,jayshaun,first,15065,15065,612,612,0,6,1995,2020,2007,57,M,,,,available,2026-05-30T06:09:37.115Z
enrrique.com,enrrique,first,15124,15124,608,608,0,0,1921,2018,1998,27,M,,,,available,2026-05-30T06:09:37.115Z
jahmere.com,jahmere,first,15141,15141,607,607,0,18,1989,2020,2009,46,M,,,,available,2026-05-30T06:09:37.115Z
daveion.com,daveion,first,15160,15160,606,606,0,6,1986,2020,2008,42,M,,,,available,2026-05-30T06:09:37.115Z
tariyah.com,tariyah,first,15167,15167,606,0,606,37,2000,2020,2012,52,F,,,,available,2026-05-30T06:09:37.115Z
braylie.com,braylie,first,15244,15244,601,0,601,21,2000,2020,2012,60,F,,,,available,2026-05-30T06:09:37.115Z
samanatha.com,samanatha,first,15262,15262,601,0,601,0,1965,2009,1987,34,F,,,,available,2026-05-30T06:09:37.115Z
camarion.com,camarion,first,15300,15300,598,598,0,24,2002,2020,2008,54,M,,,,available,2026-05-30T06:09:37.115Z
odessie.com,odessie,first,15333,15333,597,0,597,0,1897,1949,1923,32,F,,,,available,2026-05-30T06:09:37.115Z
phylliss.com,phylliss,first,15335,15335,597,0,597,0,1917,1970,1950,25,F,,,,available,2026-05-30T06:09:37.115Z
nakiah.com,nakiah,first,15368,15368,595,0,595,0,1974,2019,2007,39,F,,,,available,2026-05-30T06:09:37.115Z
jahsir.com,jahsir,first,15392,15392,593,593,0,55,2000,2020,2020,55,M,,,,available,2026-05-30T06:09:37.115Z
jaiceon.com,jaiceon,first,15393,15393,593,593,0,48,2012,2020,2014,110,M,,,,available,2026-05-30T06:09:37.115Z
josiyah.com,josiyah,first,15446,15446,590,590,0,54,2001,2020,2017,60,M,,,,available,2026-05-30T06:09:37.115Z
roshunda.com,roshunda,first,15465,15465,589,0,589,0,1965,1995,1980,40,F,,,,available,2026-05-30T06:09:37.115Z
jackalyn.com,jackalyn,first,15497,15497,586,0,586,0,1942,2014,2006,22,F,,,,available,2026-05-30T06:09:37.115Z
tatanisha.com,tatanisha,first,15506,15506,586,0,586,0,1970,1996,1972,111,F,,,,available,2026-05-30T06:09:37.115Z
etheleen.com,etheleen,first,15534,15534,584,0,584,0,1909,1959,1925,29,F,,,,available,2026-05-30T06:09:37.115Z
fayrene.com,fayrene,first,15535,15535,584,0,584,0,1912,1963,1936,28,F,,,,available,2026-05-30T06:09:37.115Z
tywana.com,tywana,first,15558,15558,583,0,583,0,1954,1999,1974,44,F,,,,available,2026-05-30T06:09:37.115Z
trevonte.com,trevonte,first,15573,15573,582,582,0,8,1985,2020,1995,51,M,,,,available,2026-05-30T06:09:37.115Z
tyneshia.com,tyneshia,first,15714,15714,574,0,574,0,1972,2006,1991,37,F,,,,available,2026-05-30T06:09:37.115Z
roneisha.com,roneisha,first,15728,15728,573,0,573,0,1977,2008,1993,45,F,,,,available,2026-05-30T06:09:37.115Z
aadyn.com,aadyn,first,15749,15749,571,555,16,22,2003,2020,2009,76,M,,,,available,2026-05-30T06:09:37.115Z
jackquline.com,jackquline,first,15754,15754,571,0,571,0,1931,1996,1964,40,F,,,,available,2026-05-30T06:09:37.115Z
luevenia.com,luevenia,first,15823,15823,567,0,567,0,1894,1956,1919,20,F,,,,available,2026-05-30T06:09:37.115Z
percilla.com,percilla,first,15934,15934,561,0,561,0,1907,2011,1949,22,F,,,,available,2026-05-30T06:09:37.115Z
mckynlee.com,mckynlee,first,15966,15966,559,0,559,25,1999,2020,2013,60,F,,,,available,2026-05-30T06:09:37.115Z
tyreik.com,tyreik,first,16005,16005,557,557,0,12,1985,2020,1998,58,M,,,,available,2026-05-30T06:09:37.115Z
jaretzy.com,jaretzy,first,16036,16036,555,0,555,25,2001,2020,2006,92,F,,,,available,2026-05-30T06:09:37.115Z
davontay.com,davontay,first,16079,16079,552,552,0,8,1991,2020,1993,36,M,,,,available,2026-05-30T06:09:37.115Z
lequita.com,lequita,first,16085,16085,552,0,552,0,1931,1993,1986,25,F,,,,available,2026-05-30T06:09:37.115Z
zitlaly.com,zitlaly,first,16093,16093,552,0,552,6,1993,2020,2004,51,F,,,,available,2026-05-30T06:09:37.115Z
tayveon.com,tayveon,first,16157,16157,549,549,0,14,1996,2020,2004,39,M,,,,available,2026-05-30T06:09:37.115Z
audreanna.com,audreanna,first,16180,16180,547,0,547,6,1989,2020,1989,80,F,,,,available,2026-05-30T06:09:37.115Z
jearld.com,jearld,first,16187,16187,547,547,0,0,1920,1983,1941,29,M,,,,available,2026-05-30T06:09:37.115Z
tywanda.com,tywanda,first,16199,16199,547,0,547,0,1961,2000,1976,39,F,,,,available,2026-05-30T06:09:37.115Z
antavious.com,antavious,first,16202,16202,546,546,0,8,1982,2020,2001,29,M,,,,available,2026-05-30T06:09:37.115Z
deaira.com,deaira,first,16234,16234,544,0,544,15,1987,2020,1998,28,F,,,,available,2026-05-30T06:09:37.115Z
alayiah.com,alayiah,first,16296,16296,541,0,541,41,1997,2020,2019,59,F,,,,available,2026-05-30T06:09:37.115Z
jalisha.com,jalisha,first,16301,16301,541,0,541,0,1988,2011,1990,60,F,,,,available,2026-05-30T06:09:37.115Z
tamarcus.com,tamarcus,first,16310,16310,541,541,0,0,1974,2018,1999,27,M,,,,available,2026-05-30T06:09:37.115Z
blessyn.com,blessyn,first,16326,16326,539,5,534,142,2002,2020,2020,137,F,,,,available,2026-05-30T06:09:37.115Z
jahniya.com,jahniya,first,16328,16328,539,0,539,7,1997,2020,2007,57,F,,,,available,2026-05-30T06:09:37.115Z
lasondra.com,lasondra,first,16331,16331,539,0,539,0,1959,1998,1988,33,F,,,,available,2026-05-30T06:09:37.115Z
jatavious.com,jatavious,first,16342,16342,538,538,0,7,1987,2020,2008,35,M,,,,available,2026-05-30T06:09:37.115Z
daishawn.com,daishawn,first,16358,16358,537,537,0,0,1988,2019,2001,32,M,,,,available,2026-05-30T06:09:37.115Z
zyonna.com,zyonna,first,16443,16443,533,0,533,31,1999,2020,2014,39,F,,,,available,2026-05-30T06:09:37.115Z
charlcie.com,charlcie,first,16462,16462,531,0,531,0,1895,1998,1929,22,F,,,,available,2026-05-30T06:09:37.115Z
darnesha.com,darnesha,first,16528,16528,527,0,527,0,1974,2009,1990,37,F,,,,available,2026-05-30T06:09:37.115Z
joesiah.com,joesiah,first,16615,16615,522,522,0,23,2000,2020,2012,41,M,,,,available,2026-05-30T06:09:37.115Z
bernadean.com,bernadean,first,16630,16630,521,0,521,0,1913,1972,1928,22,F,,,,available,2026-05-30T06:09:37.115Z
kynlie.com,kynlie,first,16691,16691,518,0,518,11,2000,2020,2011,62,F,,,,available,2026-05-30T06:09:37.115Z
daevion.com,daevion,first,16707,16707,517,517,0,11,1998,2020,2008,49,M,,,,available,2026-05-30T06:09:37.115Z
makylah.com,makylah,first,16717,16717,517,0,517,9,1997,2020,2010,43,F,,,,available,2026-05-30T06:09:37.115Z
daleysa.com,daleysa,first,16728,16728,516,0,516,26,2012,2020,2014,121,F,,,,available,2026-05-30T06:09:37.115Z
jamaul.com,jamaul,first,16734,16734,516,516,0,0,1970,2014,1994,26,M,,,,available,2026-05-30T06:09:37.115Z
athziri.com,athziri,first,16760,16760,514,0,514,6,1996,2020,2005,43,F,,,,available,2026-05-30T06:09:37.115Z
jaleyah.com,jaleyah,first,16766,16766,514,0,514,21,1997,2020,2011,45,F,,,,available,2026-05-30T06:09:37.115Z
